player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_36,team
Tyler Ennis,23,54,11,683,5.0,11.8,.420,0.7,3.0,.250,4.2,8.9,.476,1.2,1.5,.759,1.0,4.0,5.0,5.5,1.6,0.5,2.0,4.0,11.8,LAL
Alex Caruso,23,37,7,562,3.2,7.4,.431,0.8,2.8,.302,2.4,4.7,.507,1.3,1.9,.700,1.0,3.2,4.2,4.8,1.5,0.6,2.7,3.3,8.6,LAL
Isaiah Thomas,28,17,1,456,6.9,17.9,.383,2.6,8.0,.327,4.3,9.9,.429,4.6,5.0,.921,0.8,2.1,2.8,6.7,0.5,0.1,4.3,2.6,20.9,LAL
Ivica Zubac,20,43,0,410,5.4,10.7,.500,0.0,0.1,.000,5.4,10.6,.504,3.4,4.5,.765,4.0,6.8,10.8,2.2,0.7,1.3,2.3,4.1,14.1,LAL
Travis Wear,27,17,0,228,3.9,11.4,.347,2.7,7.4,.362,1.3,3.9,.320,1.3,1.3,1.000,0.0,6.0,6.0,1.1,0.6,0.8,0.9,4.7,11.8,LAL
Andrew Bogut,33,23,5,216,2.8,4.2,.680,0.0,0.0,,2.8,4.2,.680,0.3,0.3,1.000,4.3,8.7,13.0,2.5,0.7,2.2,3.2,6.7,6.0,LAL
Channing Frye,34,9,0,150,4.8,10.3,.465,2.2,6.0,.360,2.6,4.3,.611,0.7,1.0,.750,0.5,5.5,6.0,2.4,0.2,0.2,1.0,3.6,12.5,LAL
Gary Payton,25,11,0,115,5.3,12.8,.415,1.3,4.1,.308,4.1,8.8,.464,0.3,1.9,.167,2.8,5.6,8.5,3.8,1.3,0.6,1.3,4.1,12.2,LAL
Thomas Bryant,20,15,0,72,4.0,10.5,.381,0.5,5.0,.100,3.5,5.5,.636,2.5,4.5,.556,1.5,7.0,8.5,3.0,0.5,1.0,1.0,3.0,11.0,LAL
Andre Ingram,32,2,0,64,4.5,9.6,.471,2.8,5.1,.556,1.7,4.5,.375,1.7,1.7,1.000,0.6,2.8,3.4,3.9,1.7,1.7,1.7,1.7,13.5,LAL
Vander Blue,25,5,0,45,0.8,4.0,.200,0.0,1.6,.000,0.8,2.4,.333,0.8,1.6,.500,0.0,0.8,0.8,2.4,0.8,0.0,2.4,1.6,2.4,LAL
Luol Deng,32,1,1,13,2.8,5.5,.500,0.0,0.0,,2.8,5.5,.500,0.0,0.0,,0.0,0.0,0.0,2.8,2.8,0.0,2.8,0.0,5.5,LAL
Nigel Hayes,23,2,0,11,3.3,9.8,.333,0.0,6.5,.000,3.3,3.3,1.000,3.3,3.3,1.000,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,9.8,LAL
Derrick Williams,26,2,0,9,4.0,16.0,.250,0.0,8.0,.000,4.0,8.0,.500,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,LAL
Andrew Wiggins,22,82,82,2979,6.9,15.7,.438,1.4,4.1,.331,5.5,11.6,.475,2.4,3.8,.643,1.0,3.3,4.3,1.9,1.1,0.6,1.7,2.0,17.5,MIN
Karl-Anthony Towns,22,82,82,2918,7.9,14.5,.545,1.5,3.5,.421,6.4,10.9,.585,4.3,5.0,.858,2.9,9.5,12.5,2.5,0.8,1.4,2.0,3.5,21.5,MIN
Taj Gibson,32,82,82,2726,5.6,9.7,.577,0.1,0.5,.200,5.5,9.3,.595,1.9,2.4,.768,2.6,5.2,7.7,1.3,0.8,0.8,1.2,2.9,13.2,MIN
Jeff Teague,29,70,70,2311,5.5,12.4,.446,1.3,3.6,.368,4.2,8.8,.477,3.1,3.7,.845,0.4,2.9,3.3,7.7,1.6,0.4,2.8,2.7,15.5,MIN
Jimmy Butler,28,59,59,2164,7.3,15.3,.474,1.2,3.3,.350,6.1,12.0,.509,6.0,7.1,.854,1.3,3.9,5.2,4.8,1.9,0.4,1.8,1.3,21.7,MIN
