"","Rk","G","Date","Age","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","Result","Dummy"
"325",79,79,"2016-04-07","26-225","HOU","","PHO","L (-9)","1","43:24","10","14",".714","5","6",".833","5","7",".714","0","2","2","7","2","0","3","3","30","26.7","-4","L",0
"326",80,80,"2016-04-10","26-228","HOU","","LAL","W (+20)","1","41:22","14","31",".452","6","14",".429","6","8",".750","1","3","4","13","4","0","4","2","40","33.0","+23","W",1
"327",81,81,"2016-04-11","26-229","HOU","@","MIN","W (+24)","1","31:40","12","21",".571","5","7",".714","5","7",".714","0","1","1","6","0","0","3","0","34","24.8","+29","W",1
"328",82,82,"2016-04-13","26-231","HOU","","SAC","W (+35)","1","30:16","13","27",".481","5","10",".500","7","8",".875","2","2","4","4","0","0","1","3","38","26.5","+21","W",1
"329",1,1,"2016-10-26","27-061","HOU","@","LAL","L (-6)","1","37:11","9","19",".474","1","7",".143","15","16",".938","3","4","7","17","1","0","7","5","34","31.1","+10","L",0
"330",2,2,"2016-10-28","27-063","HOU","@","DAL","W (+8)","1","35:51","9","18",".500","4","9",".444","4","5",".800","1","6","7","8","1","0","4","4","26","20.1","+7","W",1
"331",3,3,"2016-10-30","27-065","HOU","","DAL","W (+1)","1","38:37","8","23",".348","3","9",".333","9","12",".750","1","6","7","8","1","0","8","4","28","13.4","+1","W",1
"332",4,4,"2016-11-01","27-067","HOU","@","CLE","L (-8)","1","38:10","13","20",".650","5","9",".556","10","14",".714","1","6","7","15","1","0","1","3","41","42.4","+10","L",0
"333",5,5,"2016-11-02","27-068","HOU","@","NYK","W (+19)","1","33:56","9","16",".563","5","12",".417","7","8",".875","1","5","6","15","2","0","3","1","30","33.3","+21","W",1
"334",6,6,"2016-11-05","27-071","HOU","@","ATL","L (-15)","1","36:55","10","19",".526","4","8",".500","6","7",".857","1","8","9","11","3","0","8","4","30","24.5","-8","L",0
"335",7,7,"2016-11-07","27-073","HOU","@","WAS","W (+8)","1","39:48","9","19",".474","3","7",".429","11","11","1.000","0","5","5","15","0","0","7","2","32","26.5","+9","W",1
"336",8,8,"2016-11-09","27-075","HOU","@","SAS","W (+2)","1","40:50","9","19",".474","1","5",".200","5","7",".714","2","10","12","15","1","0","8","1","24","21.0","+13","W",1
"337",9,9,"2016-11-12","27-078","HOU","","SAS","L (-6)","1","38:56","7","18",".389","2","9",".222","9","11",".818","5","6","11","13","0","0","7","1","25","21.4","+1","L",0
"338",10,10,"2016-11-14","27-080","HOU","","PHI","W (+27)","1","33:01","12","20",".600","4","8",".500","5","5","1.000","1","6","7","9","1","1","5","2","33","28.5","+23","W",1
"339",11,11,"2016-11-16","27-082","HOU","@","OKC","L (-2)","1","36:44","4","16",".250","1","5",".200","4","7",".571","3","4","7","13","3","0","6","1","13","11.2","-5","L",0
"340",12,12,"2016-11-17","27-083","HOU","","POR","W (+17)","1","31:37","7","17",".412","3","8",".375","9","11",".818","1","11","12","14","3","0","4","3","26","27.7","+23","W",1
"341",13,13,"2016-11-19","27-085","HOU","","UTA","W (+9)","1","34:55","10","24",".417","4","10",".400","7","9",".778","0","4","4","10","0","2","0","3","31","25.8","-2","W",1
"342",14,14,"2016-11-21","27-087","HOU","@","DET","W (+3)","1","37:38","6","17",".353","2","9",".222","14","19",".737","2","6","8","11","0","1","6","2","28","21.3","+6","W",1
"343",15,15,"2016-11-23","27-089","HOU","","TOR","L (-13)","1","40:32","7","13",".538","3","8",".375","12","12","1.000","0","6","6","15","2","1","12","4","29","24.1","-12","L",0
"344",16,16,"2016-11-25","27-091","HOU","@","SAC","W (+13)","1","39:59","6","18",".333","3","11",".273","8","8","1.000","1","8","9","10","0","0","5","2","23","17.1","+10","W",1
